,lead
0,1-5566
1,7-7935
2,7-2220
3,3-3351
4,2-6786
5,5-0481
6,4-9264
7,3-9348
8,8-0601
9,3-1979
10,5-9869
11,6-8426
12,7-2591
13,5-1671
14,5-8875
15,2-5076
16,5-2695
17,1-6828
18,2-7486
19,2-5765
20,6-4636
21,4-6873
22,1-2352
23,7-8758
24,8-8750
25,6-2782
26,3-3003
27,7-6923
28,7-6086
29,3-3365
30,5-9665
31,8-0835
32,7-5071
33,6-4413
34,6-1990
35,3-7767
36,8-2214
37,4-3847
38,7-7959
39,2-5798
40,4-6939
41,6-4486
42,8-3248
43,6-9620
44,6-0757
45,4-0449
46,8-1942
47,6-2793
48,3-9058
49,7-3104
50,7-9731
51,8-3355
52,8-4287
53,1-1767
54,8-8603
55,2-6355
56,2-2143
57,3-2972
58,8-0838
59,1-2400
60,4-9984
61,6-7585
62,6-1201
63,6-5458
64,3-9456
65,3-4603
66,8-6832
67,7-0048
68,2-6797
69,8-9283
70,2-9595
71,7-0207
72,6-0703
73,8-0738
74,1-2416
75,6-4137
76,3-4281
77,3-8735
78,6-0349
79,1-3984
80,6-9808
81,5-9845
82,3-5163
83,7-2461
84,4-7392
85,1-9942
86,7-1201
87,5-9901
88,7-0684
89,4-1191
90,3-1717
91,5-9619
92,7-2707
93,7-9531
94,1-8132
95,1-7789
96,4-6577
97,8-6820
98,1-5986
99,1-2051
100,6-4077
101,7-1769
102,6-6161
103,7-8206
104,1-7113
105,6-1380
106,7-8340
107,1-4809
108,6-7666
109,7-1247
110,5-8596
111,8-1253
112,7-0469
113,7-7807
114,1-1959
115,2-7993
116,2-0482
117,4-7577
118,2-2480
119,2-6348
120,3-2202
121,6-9543
122,6-8529
123,8-9736
124,3-6558
125,1-7197
126,7-4395
127,5-3832
128,1-4658
129,1-8047
130,3-7684
131,3-8322
132,8-3318
133,8-0016
134,7-8941
135,6-7918
136,8-1451
137,5-9310
138,1-0717
139,8-2377
140,7-2487
141,2-4779
142,1-3357
143,6-6613
144,7-5315
145,7-8329
146,6-7520
147,5-8297
148,8-1840
149,6-9042
150,8-7490
151,1-2323
152,8-3498
153,6-2032
154,3-9636
155,7-2813
156,1-0397
157,5-5773
158,6-8617
159,4-5052
160,2-9725
161,8-8402
162,4-7696
163,7-1912
164,7-6874
165,8-7207
166,1-2257
167,5-7420
168,7-5795
169,2-0079
170,3-7638
171,1-8114
172,1-2600
173,4-0374
174,6-4910
175,3-0664
176,4-7074
177,6-8647
178,5-7577
179,7-4892
180,8-0586
181,2-6849
182,4-8756
183,6-1655
184,6-2835
185,8-1343
186,6-0749
187,6-5099
188,1-1718
189,4-2993
190,3-6067
191,4-7068
192,3-4620
193,3-4127
194,8-2388
195,7-1270
196,1-2434
197,1-2342
198,3-9338
199,4-8369
200,5-1394
201,3-6559
202,6-1321
203,8-0620
204,2-5170
205,4-8685
206,6-9994
207,7-2522
208,7-8688
209,6-0016
210,5-6262
211,7-8361
212,4-2093
213,3-1000
214,3-7269
215,5-3323
216,2-1050
217,4-7279
218,8-3777
219,6-0546
220,4-8879
221,2-5368
222,3-7188
223,6-1502
224,5-6311
225,5-0445
226,1-6903
227,3-2341
228,1-0971
229,1-7711
230,8-4351
231,5-4331
232,2-6852
233,8-3087
234,5-0447
235,1-5921
236,8-5651
237,5-4277
238,4-5553
239,5-6546
240,6-5674
241,6-9753
242,5-6306
243,6-2270
244,2-9399
245,2-0551
246,6-2472
247,2-1986
248,2-9146
249,1-6706
250,7-7173
251,4-3581
252,7-4102
253,2-1979
254,4-2195
255,4-1080
256,7-4397
257,8-9254
258,8-1536
259,3-3509
260,8-5663
261,6-7781
262,4-9090
263,1-1498
264,1-8173
265,1-7986
266,7-6081
267,2-8755
268,8-1797
269,6-8491
270,7-7195
271,5-8162
272,7-0418
273,5-0699
274,5-1981
275,1-7520
276,6-0103
277,4-0020
278,3-3022
279,1-8765
280,5-5626
281,5-3123
282,8-8263
283,6-8760
284,3-7578
285,7-1192
286,6-4302
287,1-3690
288,1-3637
289,3-6113
290,4-6555
291,7-1560
292,6-5774
293,1-2485
294,1-8381
295,8-4329
296,8-5272
297,7-9786
298,6-8583
299,7-8775
300,5-6497
301,3-1015
302,7-9348
303,6-6514
304,6-1970
305,1-8090
306,2-5491
307,5-7897
308,2-6898
309,3-6064
310,8-2615
311,2-2947
312,3-3471
313,3-8151
314,1-0115
315,2-2080
316,1-7196
317,3-6963
318,1-5332
319,5-5449
320,7-1787
321,3-6468
322,7-4110
323,1-2442
324,3-3589
325,3-7790
326,1-0805
327,8-3414
328,2-8680
329,5-7054
330,4-5279
331,7-9587
332,4-3675
333,1-0074
334,2-5091
335,2-1378
336,6-7166
337,6-2530
338,2-6778
339,3-3105
340,5-5856
341,5-7306
342,2-0477
343,7-2115
344,7-1915
345,6-2983
346,7-4399
347,3-9388
348,8-9630
349,2-2783
350,6-4608
351,6-1814
352,5-7331
353,3-3265
354,5-3952
355,8-9217
356,4-4142
357,7-5448
358,3-5827
359,1-3744
360,1-5183
361,3-7743
362,5-2006
363,8-4553
364,8-8417
365,1-2918
366,6-4403
367,5-5361
368,5-4574
369,8-5000
370,5-6032
371,2-6699
372,4-5250
373,6-5905
374,6-3796
375,8-0171
376,7-4033
377,6-1836
378,1-4645
379,3-2742
380,4-1492
381,7-2742
382,5-7123
383,8-7082
384,6-8675
385,2-1640
386,3-9805
387,3-4171
388,1-2313
389,4-6080
390,4-7877
391,1-4662
392,2-9385
393,6-3779
394,8-8110
395,7-9239
396,8-7133
397,8-1120
398,7-9557
399,4-1144
400,1-8487
401,5-9713
402,6-8387
403,2-6897
404,7-9553
405,5-4994
406,3-7080
407,8-1712
408,3-3077
409,3-9461
410,8-6278
411,3-9438
412,1-0781
413,1-1675
414,3-5282
415,7-1004
416,6-7350
417,8-6313
